"","V1","V2"
"1",276,92
"2",283,215
"3",210,133
"4",86,81
"5",62,16
"6",153,366
"7",244,312
"8",32,125
"9",222,82
"10",341,340
"11",259,346
"12",406,359
"13",96,4
"14",182,226
"15",25,37
"16",144,411
"17",138,11
"18",172,37
"19",243,195
"20",372.178465516901,205.97488842178
"21",336,147
"22",110,249
"23",249,32
"24",25,0
"25",335,403
"26",384,397
"27",78,148
"28",135,126
"29",25,79
"30",278,383
"31",50,278
"32",359,88
"33",100,376
"34",431,236
"35",104,412
"36",290,18
"37",330,261
"38",320,48
"39",245,413
"40",387,277
"41",181,409
"42",68,205
"43",431,194
"44",417,269
"45",143,297
"46",102,317
"47",66,357
"48",428,160
"49",38,239
"50",407,133
"51",50,316
"52",369,136
